来源,序号/名称,标题/名称,提取名,新提取餐厅/地点名,原因分类,原因详情,按新规则处理,原帖链接,作者小红书号
小红书,148,油菜花田打卡,油菜花田打卡,,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2982211,69.2385223 在多条无明确候选结果中重复出现，按规则不采信",删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67e81470000000000900f10d?xsec_token=AB_Dk304ruD2UgywhfOyjNmQa1JZryANEh6Cr0pRykfcQ=&xsec_source=pc_user,5995009986
小红书,150,塔什干 超市8款酸奶测评,塔什干 超市8款酸奶测评,,未进入已确认清单,Google候选=Green apple market; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67e2cfba0000000003029951?xsec_token=AB-fx9XfFev_majhNbvepJhl5WBlOe6zjbgOJJMvt8LGI=&xsec_source=pc_user,5995009986
小红书,154,塔什干 吃这么一套52rmb！,吃这么一套52rmb！,,Google未解析到可用坐标,Google候选=# Google 地图; 备注=Google未解析到可用坐标,删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67e04cee0000000007036ba0?xsec_token=ABAoo0CzUqS_bGDGGQqstSw6V03SmPa4rs1nJn4p91v9U=&xsec_source=pc_user,5995009986
小红书,181,塔什干 毒舌博主早上都吃什么淬毒,毒舌博主早上都吃什么淬毒,,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2982211,69.2385223 在多条无明确候选结果中重复出现，按规则不采信",删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67b7218b000000000e007865?xsec_token=ABg0e9kDUF1kuFuX0ewSosIlIJLbe8KOzCpBul_wkzkr8=&xsec_source=pc_user,5995009986
小红书,183,塔什干 超市门口的玉米摊,塔什干 超市门口的玉米摊,,未进入已确认清单,Google候选=Green apple market; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67b2d78d000000001703a8b0?xsec_token=ABK2iJFQ9UABt5qZ83di1zWD1HSD6B0JcldvDkZvdt9OM=&xsec_source=pc_user,5995009986
小红书,184,塔什干 希腊酸奶燕麦碗早餐,希腊酸奶燕麦碗,,未进入已确认清单,Google候选=Terminal Cafe; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67af0acc000000001701ef58?xsec_token=ABYCF_0_oSYUo-uZB8GtwR5F9G_RDOdcUamyNVOHAxTBA=&xsec_source=pc_user,5995009986
小红书,189,塔什干 超市里的一些快餐,塔什干 超市里的一些快餐,,未进入已确认清单,Google候选=Green apple market; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67a4cd09000000001800a401?xsec_token=ABF4QrVa4smbpN36A4d16Js58_zc3NQnHdC8dQiuenPjA=&xsec_source=pc_user,5995009986
小红书,193,塔什干 年夜饭🔥🎉🥂,年夜饭🔥🎉🥂,,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2982211,69.2385223 在多条无明确候选结果中重复出现，按规则不采信",删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6799225c000000001801221c?xsec_token=ABkUI2NQ107sR_uxZ5RpWlSNg6SvdeisJ07HrXtc_5oHU=&xsec_source=pc_user,5995009986
小红书,198,塔什干 吃到一款巧克力果脯的糖果,吃到一款巧克力果脯的糖果,,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2982211,69.2385223 在多条无明确候选结果中重复出现，按规则不采信",删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6794ab930000000017039a9f?xsec_token=ABvhOpoVB0xph1BXycuU2wn8S014l65KHT3GHH3SO-9RU=&xsec_source=pc_user,5995009986
小红书,220,塔什干 剩饭指南,剩饭指南,,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2982211,69.2385223 在多条无明确候选结果中重复出现，按规则不采信",删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67700244000000000b00cbda?xsec_token=ABo6zcmThs2wBOyJzED63S_BY-DJYF0wSVYHav_GkCVuI=&xsec_source=pc_user,5995009986
小红书,221,塔什干 早餐吃啥,塔什干 早餐吃啥,,未进入已确认清单,Google候选=Terminal Cafe; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/676d7c8f000000000800f8cf?xsec_token=ABs1B6kZy9eXP5Id1KwmHUBi2ymzn9eYnd1LsyB5F0pxA=&xsec_source=pc_user,5995009986
小红书,228,塔什干 在同一家鲜族菜馆吃了一天,在同一家鲜族菜馆吃了一天,,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2982211,69.2385223 在多条无明确候选结果中重复出现，按规则不采信",删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6763022d000000000b015a87?xsec_token=ABDFhM74qR0WjystOiPi601rxeteDPhGarj8MIiXrQMg8=&xsec_source=pc_user,5995009986
小红书,232,塔什干 鲜族小馆 包子的吃法,鲜族小馆 包子的吃法,,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2982211,69.2385223 在多条无明确候选结果中重复出现，按规则不采信",删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/675d10cc0000000002015e2d?xsec_token=ABMBGHfVwOyE2f39NfhHZ05Z4XM1UIhO9lceo02yDamcE=&xsec_source=pc_user,5995009986
小红书,234,塔什干 中式快餐,中式快餐,,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6752d02d0000000006014465?xsec_token=ABToq0cZGZFvd03kZ7IePWU2C4l8sGOJKpPLv71nLH7oc=&xsec_source=pc_user,5995009986
小红书,247,塔什干 正经做披萨的店,正经做,,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2982211,69.2385223 在多条无明确候选结果中重复出现，按规则不采信",删除-提取不到可用餐厅/地点名,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6738d531000000003c019b31?xsec_token=ABYjc7FqQyXgERNeHnfvBqwSlr2Xy0a53NdGOwSirIBuY=&xsec_source=pc_user,5995009986
