来源,序号/名称,标题/名称,提取餐厅/地点名,餐饮标签,整理状态,Google搜索状态,最终纬度,最终经度,Google候选名,Google候选详情/地址,备注,Google Maps查询URL,Google页面文件,作者小红书号,账号名字,作者主页链接,原帖链接,地址线索,原帖证据
小红书,90,塔什干 棒约翰披萨🍕,Papa Johns,西餐,待用户自行确认,Google有坐标待Yandex坐标复核,,,# Google 地图,,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/Papa%20Johns%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/28_seq90_塔什干_棒约翰披萨_.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/687202d60000000022032041?xsec_token=ABJkGG-gOSy9C-HsS_uB2zsqlLO93uktUfRTz3E4bxc5I=&xsec_source=pc_user,,"塔什干 棒约翰披萨🍕 | 塔什干 棒约翰披萨🍕, Tashkent, Uzbekistan | 塔什干 棒约翰披萨🍕 Tashkent Uzbekistan"
小红书,93,塔什干 高加索菜 Южанин,Южанин,其他,待用户自行确认,Google有坐标待Yandex坐标复核,,,# Google 地图,订座 [23] | familygarden.su [23] | 菜单 [24] | familygarden.su [24],未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/%D0%AE%D0%B6%D0%B0%D0%BD%D0%B8%D0%BD%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/30_seq93_高加索菜_.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/686fe04f000000002203c6e0?xsec_token=AByKtmOPTELC96Da71zNSZa16_FvdudWcAv--5FD__dj8=&xsec_source=pc_user,,"塔什干 高加索菜 Южанин | 高加索菜 Южанин | 高加索菜 Южанин, Tashkent, Uzbekistan | 高加索菜 Южанин Tashkent Uzbekistan"
小红书,99,塔什干 早餐 goodfood,Good Food,咖啡厅,待用户自行确认,Google有坐标待Yandex坐标复核,,,Bakery & Coffee by Good Food,5.0 (2) | 咖啡店·Qatartol ko'chasi | 已结束营业 · 开始营业时间：10:00 | 堂食·路边自提·送货,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/Good%20Food%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/31_seq99_塔什干_早餐_goodfood.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/684f015b000000002101856f?xsec_token=ABobl5ztud_WV7EEdqXC6M_bxxNRvEMGjyZwuoGQ-80Q8=&xsec_source=pc_user,,"塔什干 早餐 goodfood | 塔什干 早餐 goodfood, Tashkent, Uzbekistan | 塔什干 早餐 goodfood Tashkent Uzbekistan"
小红书,108,塔什干 法餐Paul,Paul,西餐,待用户自行确认,Google有坐标待Yandex坐标复核,,,# Google 地图,,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/Paul%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/33_seq108_塔什干_法餐Paul.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6839eeb40000000022026861?xsec_token=ABv3t5FxtkRZnmYmM2b08Vdzvs_1TcRO0EdaILGgMcFk8=&xsec_source=pc_user,paul有两家,"塔什干 法餐Paul | paul有两家 | paul有两家, Tashkent, Uzbekistan | 塔什干 法餐Paul Tashkent Uzbekistan"
小红书,109,塔什干 茶沃奶茶,茶沃,咖啡厅,待用户自行确认,Google有坐标待Yandex坐标复核,,,【CHAOMI】东方茶蜜 Bubble Tea,"4.9 (14) | 珍珠奶茶·D30 Shop, Seoul Street, 183 1st floor | 已结束营业 · 开始营业时间：11:00 | 堂食·路边自提·无接触配送",未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/%E8%8C%B6%E6%B2%83%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/34_seq109_茶沃.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6831fe170000000021008b71?xsec_token=ABJiSH8SM7rLuxEForFVouQxcMCMBv-UyC-9dSfn07vPU=&xsec_source=pc_user,compass 去年来过 感觉还比较一般 今年来顺便尝尝,"塔什干 茶沃奶茶 | 茶沃 | compass 去年来过 感觉还比较一般 今年来顺便尝尝 | compass 去年来过 感觉还比较一般 今年来顺便尝尝, Tashkent, Uzbekistan | 茶沃 Tashkent Uzbekistan"
小红书,111,塔什干 韩餐masil 无服务费 一人食友好,Masil,咖啡厅,待用户自行确认,Google有坐标待Yandex坐标复核,,,# Google 地图,附近的餐馆 酒店 推荐活动 酒吧 咖啡馆 外带 便利店 |  |  | ,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/Masil%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/36_seq111_塔什干_韩餐masil_无服务费_一人食友好.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68340e4900000000220048d4?xsec_token=AB6d_JK2hth93igmiv3GZDDBnRvw20Cyc2o1wtOOXeBQs=&xsec_source=pc_user,,"塔什干 韩餐masil 无服务费 一人食友好 | 塔什干 韩餐masil 无服务费 一人食友好, Tashkent, Uzbekistan | 塔什干 韩餐masil 无服务费 一人食友好 Tashkent Uzbekistan"
小红书,117,塔什干 中国人爱吃 本地人喜欢的Jumanji,Jumanji,中餐,待用户自行确认,Google有坐标待Yandex坐标复核,,,# Google 地图,,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/Jumanji%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/37_seq117_中国人爱吃.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/682b851a000000002100d0c4?xsec_token=ABJ2kfk05DwFb2jmeapbm9p-f54T-P2rs5ixrFlpy55iA=&xsec_source=pc_user,,"塔什干 中国人爱吃 本地人喜欢的Jumanji | 中国人爱吃 | 中国人爱吃, Tashkent, Uzbekistan | 中国人爱吃 Tashkent Uzbekistan"
小红书,120,塔什干 河岸小酒馆 Khan Chapan,Khan Chapan,乌兹别克斯坦本地菜,待用户自行确认,Google有坐标待Yandex坐标复核,,,# Google 地图,https://www.instagram.com/ https://www.instagram.com › khan.chapan | Tashkent (@khan.chapan) - Instagram | Log in · Open app · khan.chapan's profile picture. khan.chapan. Khan Chapan | Tashkent. 47.3K followers. 5 following. Central Asian Fusion Weekdays ...,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/Khan%20Chapan%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/38_seq120_Khan_Chapan.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6828459f000000002102c4a6?xsec_token=ABjQ432ySFEzCFs-6Cp_liPgGqhZV7t0cL4s17bUFO_sU=&xsec_source=pc_user,"Уста-Алима тупик, 5 Khan cha","塔什干 河岸小酒馆 Khan Chapan | Khan Chapan | Уста-Алима тупик, 5 Khan cha | Уста-Алима тупик, 5 Khan cha, Tashkent, Uzbekistan | Khan Chapan Tashkent Uzbekistan"
小红书,122,塔什干 搞点鲜族小咸菜吃吃,Ansan,其他,待用户自行确认,Google有坐标待Yandex坐标复核,,,# Google 地图,,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/Ansan%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/39_seq122_搞点鲜族小咸菜吃吃.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/682476a800000000210096d1?xsec_token=ABNQNIJXnZ0XKofoeSLCwUVkhXdIt8UeL05q1-s_sHq8Y=&xsec_source=pc_user,"[2026-06-11T09:00:38.118Z] sessionId=323386010840727553 vertical={""hasMore"":false,""stopReason"":""end_of_scroll""} horizontal={""hasMore"":false}","塔什干 搞点鲜族小咸菜吃吃 | 搞点鲜族小咸菜吃吃 | [2026-06-11T09:00:38.118Z] sessionId=323386010840727553 vertical={""hasMore"":false,""stopReason"":""end_of_scroll""} horizontal={""hasMore"":false} | [2026-06-11T09:00:38.118Z] sessionId=323386010840727553 vertical={""hasMore"":false,""stopReason"":""end_of_scroll""} horizontal={""hasMore"":false}, Tashkent, Uzbekistan | 搞点鲜族小咸菜吃吃 Tashkent Uzbekistan"
小红书,126,塔什干 百味餐厅 这地方太危险了,百味餐厅,中餐,待用户自行确认,Google有坐标待Yandex坐标复核,,,Yuzhanin,4.7 (689) | 餐馆·Turkiston ko'chasi 12a | 已结束营业 · 开始营业时间：11:00 | 堂食·外带,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/%E7%99%BE%E5%91%B3%E9%A4%90%E5%8E%85%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/40_seq126_百味餐厅.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6810ab280000000021019773?xsec_token=AB_8Kxz2REEoKj30hnw-UXwUfurhBal6sWehGO3Capf20=&xsec_source=pc_user,,"塔什干 百味餐厅 这地方太危险了 | 百味餐厅 | 百味餐厅, Tashkent, Uzbekistan | 百味餐厅 Tashkent Uzbekistan"
小红书,129,塔什干 社畜下班后 吃喝玩乐路线,Bamboo Noodle House,其他,待用户自行确认,Google有坐标待Yandex坐标复核,,,# Google 地图,,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/Bamboo%20Noodle%20House%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/42_seq129_社畜下班后_吃喝玩乐路线.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68067657000000001e006a2b?xsec_token=ABgvZtjrZKSvMnWnTPu-GCqpp2KkFePdX9mnPPK1PX6m0=&xsec_source=pc_user,,"塔什干 社畜下班后 吃喝玩乐路线 | 社畜下班后 吃喝玩乐路线 | 社畜下班后 吃喝玩乐路线, Tashkent, Uzbekistan | 社畜下班后 吃喝玩乐路线 Tashkent Uzbekistan"
小红书,133,塔什干 Matcha奶茶🧋,Matcha,咖啡厅,待用户自行确认,Google有坐标待Yandex坐标复核,,,Matcha:,3.9 (12)·UZS 5-10万 | 咖啡馆·Lashkarbegi St | 已结束营业 · 开始营业时间：10:00,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/Matcha%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/43_seq133_Matcha.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68027432000000001c00db38?xsec_token=ABIs-5mlwRMhkFl5f0k2XxAAdwF_MIDQogcs92s7zu7WE=&xsec_source=pc_user,,"塔什干 Matcha奶茶🧋 | Matcha | Matcha, Tashkent, Uzbekistan | Matcha Tashkent Uzbekistan"
小红书,138,塔什干 本地brunch,Benedict,咖啡厅,待用户自行确认,Google有坐标待Yandex坐标复核,,,Benedict,4.1 (164)·UZS 10-35万 | 咖啡馆·Nukus ko'chasi 31/2 | 已结束营业 · 开始营业时间：08:00 | 堂食·送货,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/Benedict%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/44_seq138_塔什干_本地brunch.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67fb88db000000001d014b9c?xsec_token=AB1AWlzZjNRK6DBVihN4dX3ieiHL1-rFNSBZZpuiezlQo=&xsec_source=pc_user,,"塔什干 本地brunch | 塔什干 本地brunch, Tashkent, Uzbekistan | 塔什干 本地brunch Tashkent Uzbekistan"
小红书,139,塔什干 长沙饭店,长沙饭店,中餐,待用户自行确认,Google有坐标待Yandex坐标复核,,,Yuzhanin,4.7 (689) | 餐馆·Turkiston ko'chasi 12a | 已结束营业 · 开始营业时间：11:00 | 堂食·外带,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/%E9%95%BF%E6%B2%99%E9%A5%AD%E5%BA%97%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/45_seq139_长沙饭店.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67fa3896000000001d02dae9?xsec_token=AB4d8s_s87cnWXRDS3ABCKtZHCvoPhBZ77AqViAfPKvLY=&xsec_source=pc_user,,"塔什干 长沙饭店 | 长沙饭店 | 长沙饭店, Tashkent, Uzbekistan | 长沙饭店 Tashkent Uzbekistan"
小红书,146,塔什干 韩式烤肉 9292,9292,其他,待用户自行确认,Google有坐标待Yandex坐标复核,,,Navvat Lounge Bar,4.0 (577)·UZS 5-25万 | 餐馆·Matbuotchilar ko'chasi 9 | 24 小时营业 | 堂食·外带·送货,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/9292%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/50_seq146_韩式烤肉_9292.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67eabd2a000000001d006a09?xsec_token=ABFRs-mfu7eZ4IyALQm65RJaEkjSuze96qzCrOK4Rs5AY=&xsec_source=pc_user,"[2026-06-11T09:05:01.572Z] sessionId=323387131630059521 vertical={""hasMore"":false,""stopReason"":""end_of_scroll""} horizontal={""hasMore"":false}","塔什干 韩式烤肉 9292 | 韩式烤肉 9292 | [2026-06-11T09:05:01.572Z] sessionId=323387131630059521 vertical={""hasMore"":false,""stopReason"":""end_of_scroll""} horizontal={""hasMore"":false} | [2026-06-11T09:05:01.572Z] sessionId=323387131630059521 vertical={""hasMore"":false,""stopReason"":""end_of_scroll""} horizontal={""hasMore"":false}, Tashkent, Uzbekistan | 韩式烤肉 9292 Tashkent Uzbekistan"
小红书,155,乌兹别克斯坦 泰尔梅兹 diplomat餐厅,Diplomat,其他,待用户自行确认,Google有坐标待Yandex坐标复核,,,Pro. Хинкали,4.8 (193)·UZS 20-50万 | 格鲁吉亚风味·улица Шота Руставели 22А/1 | 已结束营业 · 开始营业时间：09:00,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/Diplomat%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/55_seq155_乌兹别克斯坦_泰尔梅兹_diplomat.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67e01a4c000000000b014e57?xsec_token=ABAoo0CzUqS_bGDGGQqstSw1CfsEuXY1AGN4aXHhh30W8=&xsec_source=pc_user,,"乌兹别克斯坦 泰尔梅兹 diplomat餐厅 | 乌兹别克斯坦 泰尔梅兹 diplomat | 乌兹别克斯坦 泰尔梅兹 diplomat, Tashkent, Uzbekistan | 乌兹别克斯坦 泰尔梅兹 diplomat Tashkent Uzbekistan"
小红书,162,塔什干 唐朝饭店,唐朝饭店,中餐,待用户自行确认,Google有坐标待Yandex坐标复核,,,Yuzhanin,4.7 (689) | 餐馆·Turkiston ko'chasi 12a | 已结束营业 · 开始营业时间：11:00 | 堂食·外带,未在地图上获取有效位置坐标，用户搜索时，需要自行确认,https://www.google.com/maps/search/%E5%94%90%E6%9C%9D%E9%A5%AD%E5%BA%97%20Tashkent%20Uzbekistan%20restaurant,/Users/g90/xiaohongshu_tandian_recovered/tandian_only/xhs_google_yandex_83/google_pages/56_seq162_唐朝饭店.md,5995009986,未提取到,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67d023d0000000000900c661?xsec_token=ABN9WXv30nuMLVVPsiymDPa8HO_CVKIetIGbSmmh3yJss=&xsec_source=pc_user,,"塔什干 唐朝饭店 | 唐朝饭店 | 唐朝饭店, Tashkent, Uzbekistan | 唐朝饭店 Tashkent Uzbekistan"
