来源,序号/名称,标题/名称,提取名,新提取餐厅/地点名,原因分类,原因详情,按新规则处理,原帖链接,作者小红书号
小红书,111,塔什干 韩餐masil 无服务费 一人食友好,塔什干 韩餐masil 无服务费 一人食友好,Masil,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68340e4900000000220048d4?xsec_token=AB6d_JK2hth93igmiv3GZDDBnRvw20Cyc2o1wtOOXeBQs=&xsec_source=pc_user,5995009986
小红书,117,塔什干 中国人爱吃 本地人喜欢的Jumanji,中国人爱吃,Jumanji,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/682b851a000000002100d0c4?xsec_token=ABJ2kfk05DwFb2jmeapbm9p-f54T-P2rs5ixrFlpy55iA=&xsec_source=pc_user,5995009986
小红书,120,塔什干 河岸小酒馆 Khan Chapan,Khan Chapan,Khan Chapan,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6828459f000000002102c4a6?xsec_token=ABjQ432ySFEzCFs-6Cp_liPgGqhZV7t0cL4s17bUFO_sU=&xsec_source=pc_user,5995009986
小红书,122,塔什干 搞点鲜族小咸菜吃吃,搞点鲜族小咸菜吃吃,Ansan,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2982211,69.2385223 在多条无明确候选结果中重复出现，按规则不采信",保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/682476a800000000210096d1?xsec_token=ABNQNIJXnZ0XKofoeSLCwUVkhXdIt8UeL05q1-s_sHq8Y=&xsec_source=pc_user,5995009986
小红书,126,塔什干 百味餐厅 这地方太危险了,百味餐厅,百味餐厅,未进入已确认清单,Google候选=Yuzhanin; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6810ab280000000021019773?xsec_token=AB_8Kxz2REEoKj30hnw-UXwUfurhBal6sWehGO3Capf20=&xsec_source=pc_user,5995009986
小红书,129,塔什干 社畜下班后 吃喝玩乐路线,社畜下班后 吃喝玩乐路线,Bamboo Noodle House,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2982211,69.2385223 在多条无明确候选结果中重复出现，按规则不采信",保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68067657000000001e006a2b?xsec_token=ABgvZtjrZKSvMnWnTPu-GCqpp2KkFePdX9mnPPK1PX6m0=&xsec_source=pc_user,5995009986
小红书,133,塔什干 Matcha奶茶🧋,Matcha,Matcha,未进入已确认清单,Google候选=Matcha:; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/68027432000000001c00db38?xsec_token=ABIs-5mlwRMhkFl5f0k2XxAAdwF_MIDQogcs92s7zu7WE=&xsec_source=pc_user,5995009986
小红书,138,塔什干 本地brunch,塔什干 本地brunch,Benedict,未进入已确认清单,Google候选=Benedict; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67fb88db000000001d014b9c?xsec_token=AB1AWlzZjNRK6DBVihN4dX3ieiHL1-rFNSBZZpuiezlQo=&xsec_source=pc_user,5995009986
小红书,139,塔什干 长沙饭店,长沙饭店,长沙饭店,未进入已确认清单,Google候选=Yuzhanin; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67fa3896000000001d02dae9?xsec_token=AB4d8s_s87cnWXRDS3ABCKtZHCvoPhBZ77AqViAfPKvLY=&xsec_source=pc_user,5995009986
小红书,144,塔什干 miso拌饭,miso拌饭,Miso,Google未解析到可用坐标,Google候选=# Google 地图; 备注=Google未解析到可用坐标,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67f25e3c000000001b03be30?xsec_token=ABFOExrdUQajUBLIjdw0vOk2yS3hdXESYeeKTX1iVN-Vc=&xsec_source=pc_user,5995009986
小红书,146,塔什干 韩式烤肉 9292,韩式烤肉 9292,9292,未进入已确认清单,Google候选=Navvat Lounge Bar; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67eabd2a000000001d006a09?xsec_token=ABFRs-mfu7eZ4IyALQm65RJaEkjSuze96qzCrOK4Rs5AY=&xsec_source=pc_user,5995009986
小红书,155,乌兹别克斯坦 泰尔梅兹 diplomat餐厅,乌兹别克斯坦 泰尔梅兹 diplomat,Diplomat,未进入已确认清单,Google候选=Pro. Хинкали; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67e01a4c000000000b014e57?xsec_token=ABAoo0CzUqS_bGDGGQqstSw1CfsEuXY1AGN4aXHhh30W8=&xsec_source=pc_user,5995009986
小红书,162,塔什干 唐朝饭店,唐朝饭店,唐朝饭店,未进入已确认清单,Google候选=Yuzhanin; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67d023d0000000000900c661?xsec_token=ABN9WXv30nuMLVVPsiymDPa8HO_CVKIetIGbSmmh3yJss=&xsec_source=pc_user,5995009986
小红书,168,在希瓦terrace餐厅的早c晚a,在希瓦terrace,Terrace,未进入已确认清单,Google候选=AZUR - Terrace Garden; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67c74242000000000603d95a?xsec_token=AB97dZ4I2Kbr5mtdNzUsf63YbPCwxYDh3ElYJKBx6Wd88=&xsec_source=pc_user,5995009986
小红书,171,乌兹伴手礼 korzinka超市版,乌兹伴手礼 korzinka,Korzinka,未进入已确认清单,Google候选=Korzinka - Fayzobod; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67c09ef80000000003028007?xsec_token=ABgKAme8qC7CEanhin0N5lwyeBHR02eTGFfeprxSYD1tU=&xsec_source=pc_user,5995009986
小红书,173,塔什干 真正的韩餐厅Headri,Headri,Headri,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67bc8b09000000001201df60?xsec_token=ABWIgg6DiIA6u9FWXGX7Y60DTxMXtZMZe3e1LRTvTZP8Y=&xsec_source=pc_user,5995009986
小红书,177,塔什干 韩国🇰🇷超市 Ansan,韩国🇰🇷,Ansan,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67b81507000000001203ffe3?xsec_token=AB89kTygoBbiKqV2bIVmX6QzKHRJnH0_SC9VoY3mxdiHk=&xsec_source=pc_user,5995009986
小红书,178,塔什干 东方茶蜜,东方茶蜜,东方茶蜜,未进入已确认清单,Google候选=flowers.milk tea; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67b6c91b0000000007037500?xsec_token=ABkXezVdjeX2KgkLc2i_G8VbrmOKQPz-et_r9unVUhMXo=&xsec_source=pc_user,5995009986
小红书,179,塔什干 紫菜包饭 Kimpab,紫菜包饭 Kimpab,Kimpab,未进入已确认清单,Google候选=Kimpab; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67b4b9b60000000006028fc5?xsec_token=ABpXti7U8_huKwyfzqLG0cpxSdyZRXFFK_eIDqG8N-xKk=&xsec_source=pc_user,5995009986
小红书,182,塔什干 土耳其早茶 Bosphorus,土耳其早茶 Bosphorus,Bosphorus,未进入已确认清单,Google候选=Bosphorus Restaurant; 备注=Yandex按Google坐标打开后可见信息含Google候选关键词；仍需人工核对是否符合小红书原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67b32579000000001800618f?xsec_token=ABUhLc1ry8Vo_PaSaLoqdQiGJj9QVOaWG2-51RaRaj8d4=&xsec_source=pc_user,5995009986
小红书,195,塔什干 沈阳饺子馆,沈阳饺子馆,沈阳饺子馆,Google重复默认/不明确坐标，未采信,"Google候选=# Google 地图; 备注=Google坐标 41.2982211,69.2385223 在多条无明确候选结果中重复出现，按规则不采信",保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/67979fcd000000001800f6a2?xsec_token=ABNtcwOU862xjY_9hHqOgYJ0rNJ0UUQopsvwm4Q35P9w8=&xsec_source=pc_user,5995009986
小红书,205,塔什干 希腊菜Nika🇬🇷 大衣保卫战,希腊菜Nika🇬🇷 大衣保卫战,Nika,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/678008d9000000001800d752?xsec_token=ABrWh-rDDQpQ2-_hMKtZUoXs9bcrIr_8avsml8d3JZpFc=&xsec_source=pc_user,5995009986
小红书,209,Borjomi 两招教你进人满拒客的餐厅,Borjomi 两招教你进人满拒客的,Borjomi,未进入已确认清单,Google候选=BOBOY Shevchenko; 备注=Google有明确候选和坐标；Yandex坐标页未显示同名地点，仅作Google单源参考，需核对原帖证据,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6779787f000000000b00cee4?xsec_token=ABrL5s4FVfpBFnm3HNtJ3SpiAL-oSkCfIHpOcsgMWdtHE=&xsec_source=pc_user,5995009986
小红书,224,塔什干 印度菜 Raaj Kapur,塔什干 印度菜 Raaj Kapur,Raaj Kapur,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/676cdffd000000000800e847?xsec_token=ABPz664F0K4ZwTpcsbr-fBGkQEAd3FJc4wQa3hMaPUQpc=&xsec_source=pc_user,5995009986
小红书,236,塔什干 火到等位的土耳其餐masa,火到等位的土耳其餐masa,Masa,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/674e8caa000000000203976e?xsec_token=ABW-rnfwO9vpCxQbT4ulnQiRGHlpo_iLPQMWnav5nkOGg=&xsec_source=pc_user,5995009986
小红书,238,塔什干 首尔街boost cafe吃到他们停电,首尔街boost cafe吃到他们停电,Boost Cafe,Google未解析到可用坐标,Google候选=# Google 地图; 备注=Google未解析到可用坐标,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/674ab7b300000000020298a7?xsec_token=ABqmucr_ZyzZfUfMfO-J1Taz1B2Dk4a1z1nfwhFG1YM-Y=&xsec_source=pc_user,5995009986
小红书,240,塔什干 土耳其菜味道不会出错的ramiz,土耳其菜味道不会出错的ramiz,Ramiz,Google候选名称不明确，未采信,Google候选=# Google 地图; 备注=Google有坐标但候选名不是明确地点名，暂不采信,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/6749608e0000000006016b47?xsec_token=ABkmKtWOYu-VDmUYE6mk6577kmFEjwVCw25UrmApfFp-4=&xsec_source=pc_user,5995009986
小红书,245,塔什干 奶茶🧋herotea,塔什干 奶茶🧋herotea,Hero Tea,Google未解析到可用坐标,Google候选=# Google 地图; 备注=Google未解析到可用坐标,保留-有可用餐厅/地点名，继续地图查询,https://www.xiaohongshu.com/user/profile/6535e4340000000004008040/673feeee00000000020394a9?xsec_token=ABwSjsFP4lzkUq-u7oYuTnoLXFJD3qdoa1sh_mGeeU8bY=&xsec_source=pc_user,5995009986
微信餐厅,湘聚缘·湘菜餐厅,湘聚缘·湘菜餐厅,湘聚缘·湘菜餐厅,湘聚缘·湘菜餐厅,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,漫漫重庆大碗麻辣烫,漫漫重庆大碗麻辣烫,漫漫重庆大碗麻辣烫,漫漫重庆大碗麻辣烫,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,yusuf兰州拉面,yusuf兰州拉面,yusuf兰州拉面,yusuf兰州拉面,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,淮扬食府中餐厅,淮扬食府中餐厅,淮扬食府中餐厅,淮扬食府中餐厅,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,LAGMAN HOUSE,LAGMAN HOUSE,LAGMAN HOUSE,LAGMAN HOUSE,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,锅气火锅,锅气火锅,锅气火锅,锅气火锅,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,锅气小碗菜,锅气小碗菜,锅气小碗菜,锅气小碗菜,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,幸福小馆,幸福小馆,幸福小馆,幸福小馆,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,重庆辣德佳火锅,重庆辣德佳火锅,重庆辣德佳火锅,重庆辣德佳火锅,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,闽浙海鲜餐厅,闽浙海鲜餐厅,闽浙海鲜餐厅,闽浙海鲜餐厅,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,塔什干遇湘食府,塔什干遇湘食府,塔什干遇湘食府,塔什干遇湘食府,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,樽龍私厨,樽龍私厨,樽龍私厨,樽龍私厨,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,Saray新疆餐厅,Saray新疆餐厅,Saray新疆餐厅,Saray新疆餐厅,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,一站式火锅外卖,一站式火锅外卖,一站式火锅外卖,一站式火锅外卖,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,樱花餐厅-延边烤肉店,樱花餐厅-延边烤肉店,樱花餐厅-延边烤肉店,樱花餐厅-延边烤肉店,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,渝味山庄江湖菜,渝味山庄江湖菜,渝味山庄江湖菜,渝味山庄江湖菜,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,重庆小面,重庆小面,重庆小面,重庆小面,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,华人餐厅,华人餐厅,华人餐厅,华人餐厅,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
微信餐厅,疆来清真餐厅,疆来清真餐厅,疆来清真餐厅,疆来清真餐厅,Yandex/Google均无可采信结果,,保留-有可用餐厅/地点名，继续地图查询,微信文章,
